Step (mm),Length (mm),Offset (mm),Width (mm),Start Angle (deg),End Angle (deg),Start Radius (mm),End Radius (mm),Milling (mm)
2,4,4.1,3,60,5,0,0,0
2,4,4.1,3,60,5,0,0,0
2,4,4.1,3,60,5,0,0,0
2,4,4.1,3,60,5,0,0,0
2,4,4.1,3,60,5,0,0,0
2,4,4.1,3,60,5,0,0,0
2,4,4.1,3,60,5,0,0,0
2,4,4.1,3,60,5,0,0,0
2,4,4.1,3,60,5,0,0,0
2,4,4.1,3,60,5,0,0,0
2,4,4.1,3,60,5,0,0,0
2,4,4.1,3,60,5,0,0,0
2,4,4.1,3,60,5,0,0,0
2,4,4.1,3,60,5,0,0,0
2,4,4.1,3,60,6,0,0,0
2,4,4.1,3,60,7,0,0,0
2,4,4.1,3,60,8,0,0,0
2,4,4.1,3,60,9,0,0,0
2,4,4.1,3,60,10,0,0,0
2,4,4.1,3,60,11,0,0,0
2,4,4.1,3,60,12,0,0,0
2,4,4.1,3,60,13,0,0,0
2,4,4.1,3,60,14,0,0,0
2,4,4.1,3,60,15,0,0,0
2,4,4.05,3,60,16,0,0,0
2,4,4.05,3,60,17,0,0,0
2,4,4.05,3,60,18,0,0,0
2,4,4.05,3,60,19,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.05,3,60,20,0,0,0
2,4,4.06,3,60,20,0,0,0
2,4,4.08,3,60,20,0,0,0
2,4,4.1,3,60,20,0,0,0
2,4,4.12,3,60,20,0,0,0
2,4,4.14,3,60,20,0,0,0
2,4,4.16,3,60,20,0,0,0
2,4,4.18,3,60,20,0,0,0
2,4,4.2,3,60,20,0,0,0
2,4,4.22,3,60,20,0,0,0
2,4,4.24,3,60,20,0,0,0
2,4,4.26,3,60,20,0,0,0
2,4,4.28,3,60,20,0,0,0
2,4,4.3,3,60,20,0,0,0
2,4,4.32,3,60,20,0,0,0
2,4,4.34,3,60,20,0,0,0
2,4,4.36,3,60,20,0,0,0
2,4,4.38,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
2,4,4.4,3,60,20,0,0,0
